concept_id,Extended_ID,Compact_ID,Mini_ID,ICD10-Block,ICD10-Chapter,Ethiopia Extended Name,Ethiopia Compact Name,Ethiopia Mini Name,Discrepancy among Ethiopia Names,Stripped Name,Ethiopia Name: Harmonized,Final-Name,Changes made to name? Yes/No,Notes on Final Name,WHO_ID,Orginal ICD10 Match: WHO_ID,ICD10 Match: Stripped Name,Discrepancy between ICD10 Match,Final ICD-10 Map Type,Final ICD-10 Map,Reference Only: ICD-10 Name,Change made to ICD-10 Map (based on WHO_ID)? Yes/No,Notes on Final ICD-10 Map,SAME-AS CIEL Map (Optional),SAME-AS ICD-10-CM Mapping (Optional),Secondary Mapping to WHO ICD-10 (Optional),Additional FMOH Action Recommended,Recommended Action for FMOH,Consolidated Review History
212,212,196,,B50,Infectious & Parasitic,Protozoal Disease (Unspecified/Leech infestation),Protozoal Disease (Unspecified/Leech infestation),,No,Unspecified protozoal disease,Protozoal Disease (Unspecified/Leech infestation),Protozoal Disease (Unspecified/Leech infestation),No,,756,B64,B64,No,Same As,B64,Unspecified protozoal disease,No,,,,,No,,
213,213,197,85,B65,Infectious & Parasitic,Schistosomiasis (Schistosomiasis due to Schistosoma haematobium [urinary schistosomiasis]),Schistosomiasis (Schistosomiasis due to Schistosoma haematobium [urinary schistosomiasis]),Schistosomiasis (Schistosomiasis due to Schistosoma haematobium [urinary schistosomiasis]),No,Schistosomiasis due to Schistosoma haematobium [urinary schistosomiasis],Schistosomiasis (Schistosomiasis due to Schistosoma haematobium [urinary schistosomiasis]),Schistosomiasis (Schistosomiasis due to Schistosoma haematobium [urinary schistosomiasis]),No,,758,B65.0,B65.0,No,Same As,B65.0,Schistosomiasis due to Schistosoma haematobium [urinary schistosomiasis],No,,,,,No,,
214,214,198,86,B65,Infectious & Parasitic,Schistosomiasis (Schistosomiasis due to Schistosoma mansoni [intestinal schistosomiasis]),Schistosomiasis (Schistosomiasis due to Schistosoma mansoni [intestinal schistosomiasis]),Schistosomiasis (Schistosomiasis due to Schistosoma mansoni [intestinal schistosomiasis]),No,Schistosomiasis due to Schistosoma mansoni [intestinal schistosomiasis],Schistosomiasis (Schistosomiasis due to Schistosoma mansoni [intestinal schistosomiasis]),Schistosomiasis (Schistosomiasis due to Schistosoma mansoni [intestinal schistosomiasis]),No,,759,B65.1,B65.1,No,Same As,B65.1,Schistosomiasis due to Schistosoma mansoni [intestinal schistosomiasis],No,,,,,No,,
215,215,199,,B65,Infectious & Parasitic,Schistosomiasis (Unspecified),Schistosomiasis (Unspecified),,No,"Schistosomiasis, unspecified",Schistosomiasis (Unspecified),Schistosomiasis (Unspecified),No,,763,B65.9,B65.9,No,Same As,B65.9,"Schistosomiasis, unspecified",No,,,,,No,,
216,216,200,,B65,Infectious & Parasitic,Echinococcosis,Echinococcosis,,No,Echinococcosis,Echinococcosis,Echinococcosis,No,,773,B67.-,B67.-,No,Same As,B67.9,"Echinococcosis, other and unspecified",Yes,Mapped to B67.9 unspecified rather than to category header,,,,No,,
217,217,201,,B65,Infectious & Parasitic,Taenia Saginata (Taenia saginata taeniasis),Taenia Saginata (Taenia saginata taeniasis),,No,Taenia saginata taeniasis,Taenia Saginata (Taenia saginata taeniasis),Taenia Saginata (Taenia saginata taeniasis),No,,786,B68.1,B68.1,No,Same As,B68.1,Taenia saginata taeniasis,No,,,,,No,,
218,218,202,,B65,Infectious & Parasitic,"Taenia Saginata (Taeniasis, unspecified)","Taenia Saginata (Taeniasis, unspecified)",,No,"Taeniasis, unspecified","Taenia Saginata (Taeniasis, unspecified)","Taenia Saginata (Taeniasis, unspecified)",No,,787,B68.9,B68.9,No,Same As,B68.9,"Taeniasis, unspecified",No,,,,,No,,
219,219,203,,B65,Infectious & Parasitic,"Cysticercosis (Cysticercosis, unspecified)","Cysticercosis (Cysticercosis, unspecified)",,No,"Cysticercosis, unspecified","Cysticercosis (Cysticercosis, unspecified)","Cysticercosis (Cysticercosis, unspecified)",No,,792,B69.9,B69.9,No,Same As,B69.9,"Cysticercosis, unspecified",No,,,,,No,,
220,220,204,87,B65,Infectious & Parasitic,"Tapeworm (Cestode infection, unspecified)","Tapeworm (Cestode infection, unspecified)","Tapeworm (Cestode infection, unspecified)",No,"Cestode infection, unspecified","Tapeworm (Cestode infection, unspecified)","Tapeworm (Cestode infection, unspecified)",No,,800,B71.9,B71.9,No,Same As,B71.9,"Cestode infection, unspecified",No,,,,,No,,
221,221,205,88,B65,Infectious & Parasitic,Dracunculiasis (Guinea worm),Dracunculiasis (Guinea worm),Dracunculiasis (Guinea worm),No,Dracunculiasis,Dracunculiasis (Guinea worm),Dracunculiasis (Guinea worm),No,,801,B72,B72,No,Same As,B72,Dracunculiasis,No,,,,,No,,
222,222,206,89,B65,Infectious & Parasitic,Onchocerciasis,Onchocerciasis,Onchocerciasis,No,Onchocerciasis,Onchocerciasis,Onchocerciasis,No,,802,B73,B73,No,Same As,B73,Onchocerciasis,No,,,,,No,,
223,223,207,,B65,Infectious & Parasitic,Filariasis,Filariasis,,No,Filariasis,Filariasis,Filariasis,No,,803,B74.-,B74.-,No,Same As,B74.9,"Filariasis, unspecified",Yes,Mapped to B74.9 rather than to category header,,,,No,,
224,224,208,90,B65,Infectious & Parasitic,Elephantiasis (Filariasis due to Wuchereria bancrofti),Elephantiasis (Filariasis due to Wuchereria bancrofti),Elephantiasis (Filariasis due to Wuchereria bancrofti),No,Filariasis due to Wuchereria bancrofti,Elephantiasis (Filariasis due to Wuchereria bancrofti),Elephantiasis (Filariasis due to Wuchereria bancrofti),No,,804,B74.0,B74.0,No,Same As,B74.0,Filariasis due to Wuchereria bancrofti,No,,,,,No,,
225,225,209,,B65,Infectious & Parasitic,Ascariasis,Ascariasis,,No,Ascariasis,Ascariasis,Ascariasis,No,,817,B77.-,B77.-,No,Same As,B77.9,"Ascariasis, unspecified",Yes,Mapped to B77.9 rather than to the category header,,,,Yes,Recommend retiring due to duplication,"JP: Duplicate B77.9 mapping -- retire this? Or keep both since this one is using the category header name?

AK: Retire"
226,226,,,B65,Infectious & Parasitic,Ascariasis (Ascariasis with intestinal complications),,,No,Ascariasis with intestinal complications,Ascariasis (Ascariasis with intestinal complications),Ascariasis (Ascariasis with intestinal complications),No,,818,B77.0,B77.0,No,Same As,B77.0,Ascariasis with intestinal complications,No,,,,,No,,
227,227,210,,B65,Infectious & Parasitic,Ascariasis (Ascariasis with other complications),Ascariasis (Ascariasis with other complications),,No,Ascariasis with other complications,Ascariasis (Ascariasis with other complications),Ascariasis (Ascariasis with other complications),No,,819,B77.8,B77.8,No,Same As,B77.8,Ascariasis with other complications,No,,,,,No,,
228,228,211,91,B65,Infectious & Parasitic,"Ascariasis (Ascariasis, unspecified)","Ascariasis (Ascariasis, unspecified)","Ascariasis (Ascariasis, unspecified)",No,"Ascariasis, unspecified","Ascariasis (Ascariasis, unspecified)","Ascariasis (Ascariasis, unspecified)",No,,820,B77.9,B77.9,No,Same As,B77.9,"Ascariasis, unspecified",No,,,,,No,,
229,229,212,,B65,Infectious & Parasitic,Strongyloidiasis (Intestinal strongyloidiasis),Strongyloidiasis (Intestinal strongyloidiasis),,No,Intestinal strongyloidiasis,Strongyloidiasis (Intestinal strongyloidiasis),Strongyloidiasis (Intestinal strongyloidiasis),No,,822,B78.0,B78.0,No,Same As,B78.0,Intestinal strongyloidiasis,No,,,,,No,,
230,230,213,,B65,Infectious & Parasitic,Strongyloidiasis (Disseminated),Strongyloidiasis (Disseminated),,No,Disseminated strongyloidiasis,Strongyloidiasis (Disseminated),Strongyloidiasis (Disseminated),No,,824,B78.7,B78.7,No,Same As,B78.7,Disseminated strongyloidiasis,No,,,,,No,,
231,231,214,92,B65,Infectious & Parasitic,"Strongyloidiasis (Strongyloidiasis, unspecified)","Strongyloidiasis (Strongyloidiasis, unspecified)","Strongyloidiasis (Strongyloidiasis, unspecified)",No,"Strongyloidiasis, unspecified","Strongyloidiasis (Strongyloidiasis, unspecified)","Strongyloidiasis (Strongyloidiasis, unspecified)",No,,825,B78.9,B78.9,No,Same As,B78.9,"Strongyloidiasis, unspecified",No,,,,,No,,
232,232,215,93,B65,Infectious & Parasitic,Trichuriasis,Trichuriasis,Trichuriasis,No,Trichuriasis,Trichuriasis,Trichuriasis,No,,826,B79,B79,No,Same As,B79,Trichuriasis,No,,,,,No,,
233,233,216,,B65,Infectious & Parasitic,Enterobiasis,Enterobiasis,,No,Enterobiasis,Enterobiasis,Enterobiasis,No,,827,B80,B80,No,Same As,B80,Enterobiasis,No,,,,,No,,
234,234,217,94,B65,Infectious & Parasitic,Helminthiasis (Mixed intestinal helminthiases),Helminthiasis (Mixed intestinal helminthiases),Helminthiasis (Mixed intestinal helminthiases),No,Mixed intestinal helminthiases,Helminthiasis (Mixed intestinal helminthiases),Helminthiasis (Mixed intestinal helminthiases),No,,833,B81.4,B81.4,No,Same As,B81.4,Mixed intestinal helminthiases,No,,,,,No,,
235,235,218,95,B65,Infectious & Parasitic,"Helminthiasis (Intestinal helminthiasis, unspecified)","Helminthiasis (Intestinal helminthiasis, unspecified)","Helminthiasis (Intestinal helminthiasis, unspecified)",No,"Intestinal helminthiasis, unspecified","Helminthiasis (Intestinal helminthiasis, unspecified)","Helminthiasis (Intestinal helminthiasis, unspecified)",No,,836,B82.0,B82.0,No,Same As,B82.0,"Intestinal helminthiasis, unspecified",No,,,,,No,,
236,236,219,96,B85,Infectious & Parasitic,"Pediculosis (Pediculosis, unspecified)","Pediculosis (Pediculosis, unspecified)","Pediculosis (Pediculosis, unspecified)",No,"Pediculosis, unspecified","Pediculosis (Pediculosis, unspecified)","Pediculosis (Pediculosis, unspecified)",No,,849,B85.2,B85.2,No,Same As,B85.2,"Pediculosis, unspecified",No,,,,,No,,
237,237,220,,B85,Infectious & Parasitic,Phthiriasis,Phthiriasis,,No,Phthiriasis,Phthiriasis,Phthiriasis,No,,850,B85.3,B85.3,No,Same As,B85.3,Phthiriasis,No,,,,,No,,
238,238,221,,B85,Infectious & Parasitic,Pediculosis And Phthiriasis (Mixed pediculosis and phthiriasis),Pediculosis And Phthiriasis (Mixed pediculosis and phthiriasis),,No,Mixed pediculosis and phthiriasis,Pediculosis And Phthiriasis (Mixed pediculosis and phthiriasis),Pediculosis And Phthiriasis (Mixed pediculosis and phthiriasis),No,,851,B85.4,B85.4,No,Same As,B85.4,Mixed pediculosis and phthiriasis,No,,,,,No,,
239,239,222,97,B85,Infectious & Parasitic,Scabies,Scabies,Scabies,No,Scabies,Scabies,Scabies,No,,852,B86,B86,No,Same As,B86,Scabies,No,,,,,No,,
240,240,223,,B85,Infectious & Parasitic,Myiasis,Myiasis,,No,Myiasis,Myiasis,Myiasis,No,,853,B87.-,B87.-,No,Same As,B87.9,"Myiasis, unspecified",Yes,Map to B87.9 unspecified rather than to category header,,,,No,,
241,241,224,98,B85,Infectious & Parasitic,Myiasis (Ocular myiasis),Myiasis (Ocular myiasis),Myiasis (Ocular myiasis),No,Ocular myiasis,Myiasis (Ocular myiasis),Myiasis (Ocular myiasis),No,,856,B87.2,B87.2,No,Same As,B87.2,Ocular myiasis,No,,,,,No,,
242,242,225,,B85,Infectious & Parasitic,Tungiasis [sandflea infestation],Tungiasis [sandflea infestation],,No,Tungiasis [sandflea infestation],Tungiasis [sandflea infestation],Tungiasis [sandflea infestation],No,,863,B88.1,B88.1,No,Same As,B88.1,Tungiasis [sandflea infestation],No,,,,,No,,
243,243,226,99,B85,Infectious & Parasitic,Leech Infestation (Other specified infestations),Leech Infestation (Other specified infestations),Leech Infestation (Other specified infestations),No,Other specified infestations,Leech Infestation (Other specified infestations),Leech Infestation (Other specified infestations),No,,866,B88.8,B88.8,No,Same As,B88.8,Other specified infestations,No,,,,,No,,
244,244,227,,B90,Infectious & Parasitic,Sequelae of tuberculosis,Sequelae of tuberculosis,,No,Sequelae of tuberculosis,Sequelae of tuberculosis,Sequelae of tuberculosis,No,,869,B90.-,B90.-,No,Narrower Than,B90.9,Sequelae of respiratory and unspecified tuberculosis,Yes,Map to B90.9 unspecified rather than to category header,,,,No,,"JP: Confirm mapping to B90.9, because name may be substantively different than header name

AK: This should be B90.9 but should be narrower than.

JP: Resolved"
245,245,228,100,B90,Infectious & Parasitic,Poliomyelitis (Sequelae of poliomyelitis),Poliomyelitis (Sequelae of poliomyelitis),Poliomyelitis (Sequelae of poliomyelitis),No,Sequelae of poliomyelitis,Poliomyelitis (Sequelae of poliomyelitis),Poliomyelitis (Sequelae of poliomyelitis),No,,875,B91,B91,No,Same As,B91,Sequelae of poliomyelitis,No,,,,,No,,
246,246,229,101,B90,Infectious & Parasitic,Leprosy (Sequelae of leprosy),Leprosy (Sequelae of leprosy),Leprosy (Sequelae of leprosy),No,Sequelae of leprosy,Leprosy (Sequelae of leprosy),Leprosy (Sequelae of leprosy),No,,876,B92,B92,No,Same As,B92,Sequelae of leprosy,No,,,,,No,,
247,247,230,,B90,Infectious & Parasitic,Sequelae of other and unspecified infectious and parasitic diseases,Sequelae of other and unspecified infectious and parasitic diseases,,No,Sequelae of other and unspecified infectious and parasitic diseases,Sequelae of other and unspecified infectious and parasitic diseases,Sequelae of other and unspecified infectious and parasitic diseases,No,,877,B94.-,B94.-,No,Same As,B94.9,Sequelae of unspecified infectious or parasitic disease,Yes,Map to B94.9 unspecified rather than to category header,,,,No,,
248,248,231,,B90,Infectious & Parasitic,Sequelae of trachoma,Sequelae of trachoma,,No,Sequelae of trachoma,Sequelae of trachoma,Sequelae of trachoma,No,,878,B94.0,B94.0,No,Same As,B94.0,Sequelae of trachoma,No,,,,,No,,
249,249,232,,B90,Infectious & Parasitic,Sequelae of other specified infectious and parasitic diseases,Sequelae of other specified infectious and parasitic diseases,,No,Sequelae of other specified infectious and parasitic diseases,Sequelae of other specified infectious and parasitic diseases,Sequelae of other specified infectious and parasitic diseases,No,,881,B94.8,B94.8,No,Same As,B94.8,Sequelae of other specified infectious and parasitic diseases,No,,,,,No,,
250,250,233,,B95,Infectious & Parasitic,Staphylococcus aureus as the cause of diseases classified to other chapters,Staphylococcus aureus as the cause of diseases classified to other chapters,,No,Staphylococcus aureus as the cause of diseases classified to other chapters,Staphylococcus aureus as the cause of diseases classified to other chapters,Staphylococcus aureus as the cause of diseases classified to other chapters,No,,890,B95.6,B95.6,No,Same As,B95.6,Staphylococcus aureus as the cause of diseases classified to other chapters,No,,,,,No,,
251,251,234,,B95,Infectious & Parasitic,Other staphylococcus as the cause of diseases classified to other chapters,Other staphylococcus as the cause of diseases classified to other chapters,,No,Other staphylococcus as the cause of diseases classified to other chapters,Other staphylococcus as the cause of diseases classified to other chapters,Other staphylococcus as the cause of diseases classified to other chapters,No,,891,B95.7,B95.7,No,Same As,B95.7,Other staphylococcus as the cause of diseases classified to other chapters,No,,,,,No,,
252,252,235,,B95,Infectious & Parasitic,Escherichia coli [E. coli] as the cause of diseases classified to other chapters,Escherichia coli [E. coli] as the cause of diseases classified to other chapters,,No,Escherichia coli [E. coli] as the cause of diseases classified to other chapters,Escherichia coli [E. coli] as the cause of diseases classified to other chapters,Escherichia coli [E. coli] as the cause of diseases classified to other chapters,No,,896,B96.2,B96.2,No,Same As,B96.2,Escherichia coli [E. coli] as the cause of diseases classified to other chapters,No,,,,,No,,
253,253,236,,B95,Infectious & Parasitic,Haemophilus influenzae [H. influenzae] as the cause of diseases classified to other chapters,Haemophilus influenzae [H. influenzae] as the cause of diseases classified to other chapters,,No,Haemophilus influenzae [H. influenzae] as the cause of diseases classified to other chapters,Haemophilus influenzae [H. influenzae] as the cause of diseases classified to other chapters,Haemophilus influenzae [H. influenzae] as the cause of diseases classified to other chapters,No,,897,B96.3,B96.3,No,Same As,B96.3,Haemophilus influenzae [H. influenzae] as the cause of diseases classified to other chapters,No,,,,,No,,
254,254,237,,B95,Infectious & Parasitic,Clostridium perfringens [C. perfringens] as the cause of diseases classified to other chapters,Clostridium perfringens [C. perfringens] as the cause of diseases classified to other chapters,,No,Clostridium perfringens [C. perfringens] as the cause of diseases classified to other chapters,Clostridium perfringens [C. perfringens] as the cause of diseases classified to other chapters,Clostridium perfringens [C. perfringens] as the cause of diseases classified to other chapters,No,,901,B96.7,B96.7,No,Same As,B96.7,Clostridium perfringens [C. perfringens] as the cause of diseases classified to other chapters,No,,,,,No,,
255,255,238,102,B95,Infectious & Parasitic,Coronavirus as the cause of diseases classified to other chapters,Coronavirus as the cause of diseases classified to other chapters,Coronavirus as the cause of diseases classified to other chapters,No,Coronavirus as the cause of diseases classified to other chapters,Coronavirus as the cause of diseases classified to other chapters,Coronavirus as the cause of diseases classified to other chapters,No,,906,B97.2,B97.2,No,Same As,B97.2,Coronavirus as the cause of diseases classified to other chapters,No,,,,,No,,
256,256,239,,B99,Infectious & Parasitic,Other and unspecified infectious diseases,Other and unspecified infectious diseases,,No,Other and unspecified infectious diseases,Other and unspecified infectious diseases,Other and unspecified infectious diseases,No,,916,B99,B99,No,Same As,B99,Other and unspecified infectious diseases,No,,,,,No,,
257,257,240,,C00,Neoplasms,"Malignant neoplasm: Floor of mouth, unspecified (Malignant neoplasm of other, unspecified parts of mouth)","Malignant neoplasm: Floor of mouth, unspecified (Malignant neoplasm of other, unspecified parts of mouth)",,No,Malignant neoplasm of floor of mouth,"Malignant neoplasm: Floor of mouth, unspecified (Malignant neoplasm of other, unspecified parts of mouth)","Malignant neoplasm: Floor of mouth, unspecified",Yes,Paranthetical statement removed because it is mismatched -- it applies to the next row,951,C06.-,C04.-,Yes,Same As,C04.9,"Malignant neoplasm: Floor of mouth, unspecified",Yes,Mapped to C04.9 rather than C06 to align to revised name,,,,Yes,Confirm name change and mapping to C04.9 rather than C06 -- these were changed due to mismatch in name and paranthetical description,
258,258,241,,C00,Neoplasms,Malignant neoplasm of other and unspecified parts of mouth (Malignant neoplasm of oropharynx),Malignant neoplasm of other and unspecified parts of mouth (Malignant neoplasm of oropharynx),,No,Malignant neoplasm of oropharynx,Malignant neoplasm of other and unspecified parts of mouth (Malignant neoplasm of oropharynx),Malignant neoplasm of other and unspecified parts of mouth,Yes,Paranthetical statement removed because it is mismatched -- it applies to the next row,968,C10.-,C10.-,No,Same As,C06.9,"Malignant neoplasm: Mouth, unspecified",Yes,Mapped to C06.9 to align with the revised name,,,,Yes,Confirm name change and mapping to C06.9 rather than C10 -- these were changed due to mismatch in name and paranthetical description,
259,259,242,,C15,Neoplasms,Malignant neoplasm of oropharynx (Malignant neoplasm of oesophagus),Malignant neoplasm of oropharynx (Malignant neoplasm of oesophagus),,No,Malignant neoplasm of oesophagus,Malignant neoplasm of oropharynx (Malignant neoplasm of oesophagus),Malignant neoplasm of oropharynx,Yes,Paranthetical statement removed because it is mismatched -- it applies to the next row,994,C15.-,C15.-,No,Same As,C10.9,"Malignant neoplasm: Oropharynx, unspecified",Yes,Mapped to C10.9 to align with the revised name,,,,Yes,"Mismatch between short & paranthetical names -- Recommended change in name to ""oesophagus""",
260,260,243,,C15,Neoplasms,Malignant neoplasm of oesophagus (Malignant neoplasm of stomach),Malignant neoplasm of oesophagus (Malignant neoplasm of stomach),,No,Malignant neoplasm of stomach,Malignant neoplasm of oesophagus (Malignant neoplasm of stomach),Malignant neoplasm of oesophagus,Yes,Paranthetical statement removed because it is mismatched -- it applies to the next row,1003,C16.-,C16.-,No,Same As,C15.9,"Malignant neoplasm: Oesophagus, unspecified",Yes,Mapped to C15.9 to align with the revised name,,,,Yes,"Mismatch between short & paranthetical names -- confirm whether name needs to be updated -- in addition, this is a duplicate of the next diagnosis, recommend retiring",
261,261,244,103,C15,Neoplasms,"Malignant (Malignant neoplasm: Stomach, unspecified)","Malignant (Malignant neoplasm: Stomach, unspecified)","Malignant (Malignant neoplasm: Stomach, unspecified)",No,"Malignant neoplasm: Stomach, unspecified","Malignant (Malignant neoplasm: Stomach, unspecified)",Malignant neoplasm of stomach,Yes,Only paranthetical statement kept because it did not match the rest of the name,1012,C16.9,C16.9,No,Same As,C16.9,"Malignant neoplasm: Stomach, unspecified",No,,,,,No,,
262,262,245,,C15,Neoplasms,Malignant neoplasm of stomach (Malignant neoplasm of small intestine),Malignant neoplasm of stomach (Malignant neoplasm of small intestine),,No,Malignant neoplasm of small intestine,Malignant neoplasm of stomach (Malignant neoplasm of small intestine),Malignant neoplasm of small intestine,Yes,Only paranthetical statement kept because it did not match the rest of the name,1013,C17.-,C17.-,No,Same As,C17.9,"Malignant neoplasm: Small intestine, unspecified",Yes,Mapped to C17.9 to align with the revised name,,,,No,,
263,263,246,,C15,Neoplasms,Malignant neoplasm of small intestine (Malignant neoplasm: Duodenum),Malignant neoplasm of small intestine (Malignant neoplasm: Duodenum),,No,Malignant neoplasm: Duodenum,Malignant neoplasm of small intestine (Malignant neoplasm: Duodenum),Malignant neoplasm of duodenum,Yes,Only paranthetical statement kept because it did not match the rest of the name,1014,C17.0,C17.0,No,Same As,C17.0,Malignant neoplasm: Duodenum,No,,,,,No,,
264,264,247,,C15,Neoplasms,Malignant neoplasm: Duodenum (Malignant neoplasm: Jejunum),Malignant neoplasm: Duodenum (Malignant neoplasm: Jejunum),,No,Malignant neoplasm: Jejunum,Malignant neoplasm: Duodenum (Malignant neoplasm: Jejunum),Malignant neoplasm of jejunum,Yes,Only paranthetical statement kept because it did not match the rest of the name,1015,C17.1,C17.1,No,Same As,C17.1,Malignant neoplasm: Jejunum,No,,,,,No,,
265,265,248,,C15,Neoplasms,Malignant neoplasm: Jejunum (Malignant neoplasm: Ileum),Malignant neoplasm: Jejunum (Malignant neoplasm: Ileum),,No,Malignant neoplasm: Ileum,Malignant neoplasm: Jejunum (Malignant neoplasm: Ileum),Malignant neoplasm of ileum,Yes,Only paranthetical statement kept because it did not match the rest of the name,1016,C17.2,C17.2,No,Same As,C17.2,Malignant neoplasm: Ileum,No,,,,,No,,
266,266,249,,C15,Neoplasms,Malignant neoplasm: Ileum (Malignant neoplasm of colon),Malignant neoplasm: Ileum (Malignant neoplasm of colon),,No,Malignant neoplasm of colon,Malignant neoplasm: Ileum (Malignant neoplasm of colon),Malignant neoplasm of colon,Yes,Only paranthetical statement kept because it did not match the rest of the name,1020,C18.-,C18.-,No,Same As,C18.9,"Malignant neoplasm: Colon, unspecified",Yes,Mapped to C18.9 rather than category header,,,,No,,
267,267,250,,C15,Neoplasms,Malignant neoplasm: Sigmoid colon (Malignant neoplasm of anus and anal canal),Malignant neoplasm: Sigmoid colon (Malignant neoplasm of anus and anal canal),,No,Malignant neoplasm of anus and anal canal,Malignant neoplasm: Sigmoid colon (Malignant neoplasm of anus and anal canal),Malignant neoplasm of sigmoid colon,Yes,Paranthetical statement removed because it is mismatched -- it applies to the next row,1033,C21.-,C21.-,No,Same As,C18.7,Malignant neoplasm: Sigmoid colon,Yes,Mapped to C18.7 to align to revised name,,,,No,,
268a,268,251,,C15,Neoplasms,Malignant neoplasm of anus and anal canal (Malignant neoplasm: Liver cell carcinoma),Malignant neoplasm of anus and anal canal (Malignant neoplasm: Liver cell carcinoma),,No,Malignant neoplasm: Liver cell carcinoma,Malignant neoplasm of anus and anal canal (Malignant neoplasm: Liver cell carcinoma),Malignant neoplasm of anus and anal canal,Yes,Paranthetical statement removed because it is mismatched,1039,C22.0,C22.0,No,Same As,C21,Malignant neoplasm of anus and anal canal,Yes,Mapped to C21 to aligin with revised name,,,,No,,
268b,NEW,NEW,,C15,Neoplasms,,,,,,,Malignant neoplasm: Liver cell carcinoma,Yes,This diagnosis is the second half of #268 which contained 2 diagnoses,,,,N/A,Same As,C22.0,Malignant neoplasm: Liver cell carcinoma,Yes,This diagnosis is the second half of #268 which contained 2 diagnoses,,,,Yes,"This is a new diagnosis that was created because ""Malignant neoplasm of anus and anal canal"" was combined with ""Liver cell carcinoma"" in #268. Confirm that new diagnosis should be added to Compact and Extended editions",
269a,NEW,NEW,,C30,Neoplasms,,,,,,,"Malignant neoplasm: Larynx, unspecified",Yes,This diagnosis is the first half of #269 which contained 2 diagnoses,,,,N/A,Same As,C32.9,"Malignant neoplasm: Larynx, unspecified",Yes,This is the first half of #269 which contained 2 diagnoses,,,,Yes,"This is a new diagnosis that was created because #269 contained 2 different diagnoses: ""Malignant neoplasm: Larynx, unspecified (Malignant neoplasm of trachea)"". Confirm that new diagnosis should be added to Compact and Extended editions",
269b,269,252,,C30,Neoplasms,"Malignant neoplasm: Larynx, unspecified (Malignant neoplasm of trachea)","Malignant neoplasm: Larynx, unspecified (Malignant neoplasm of trachea)",,No,Malignant neoplasm of trachea,"Malignant neoplasm: Larynx, unspecified (Malignant neoplasm of trachea)",Malignant neoplasm of trachea,Yes,This diagnosis is the 2nd half of #269 which contained 2 diagnoses -- these have been split,1083,C33,C33,No,Same As,C33,Malignant neoplasm of trachea,No,,,,,No,,
270,270,253,,C30,Neoplasms,Malignant neoplasm of trachea (Malignant neoplasm of bronchus and lung),Malignant neoplasm of trachea (Malignant neoplasm of bronchus and lung),,No,Malignant neoplasm of bronchus and lung,Malignant neoplasm of trachea (Malignant neoplasm of bronchus and lung),Malignant neoplasm of bronchus and lung,Yes,Kept parenthetical text only as name applies to above row,1084,C34.-,C34.-,No,Same As,C34.9,"Malignant neoplasm: Bronchus or lung, unspecified",Yes,"Mapped to C34.9 ""unspecified"" rather than category header",,,,No,,
271,271,254,,C30,Neoplasms,"Malignant neoplasm of bronchus and lung (Malignant neoplasm: Mediastinum, part unspecified)","Malignant neoplasm of bronchus and lung (Malignant neoplasm: Mediastinum, part unspecified)",,No,"Malignant neoplasm: Mediastinum, part unspecified","Malignant neoplasm of bronchus and lung (Malignant neoplasm: Mediastinum, part unspecified)","Malignant neoplasm: Mediastinum, part unspecified",Yes,Kept parenthetical text only as name applies to above row,1096,C38.3,C38.3,No,Same As,C38.3,"Malignant neoplasm: Mediastinum, part unspecified",No,,,,,No,,
272,272,255,,C30,Neoplasms,"Malignant neoplasm: Upper respiratory tract, part unspecified","Malignant neoplasm: Upper respiratory tract, part unspecified",,No,"Malignant neoplasm: Upper respiratory tract, part unspecified","Malignant neoplasm: Upper respiratory tract, part unspecified","Malignant neoplasm: Upper respiratory tract, part unspecified",No,,1100,C39.0,C39.0,No,Same As,C39.0,"Malignant neoplasm: Upper respiratory tract, part unspecified",No,,,,,No,,
273,273,256,,C40,Neoplasms,"Malignant neoplasm: Bone and articular cartilage, unspecified","Malignant neoplasm: Bone and articular cartilage, unspecified",,No,"Malignant neoplasm: Bone and articular cartilage, unspecified","Malignant neoplasm: Bone and articular cartilage, unspecified","Malignant neoplasm: Bone and articular cartilage, unspecified",No,,1117,C41.9,C41.9,No,Same As,C41.9,"Malignant neoplasm: Bone and articular cartilage, unspecified",No,,,,,No,,
274,274,257,,C43,Neoplasms,"Malignant neoplasm: Bone and articular cartilage, unspecified (Malignant melanoma of skin)","Malignant neoplasm: Bone and articular cartilage, unspecified (Malignant melanoma of skin)",,No,Malignant melanoma of skin,"Malignant neoplasm: Bone and articular cartilage, unspecified (Malignant melanoma of skin)",Malignant neoplasm: Malignant melanoma of skin,Yes,Kept parenthetical text only as name applies to above row,1118,C43.-,C43.-,No,Same As,C43.9,"Malignant neoplasm: Malignant melanoma of skin, unspecified",Yes,"Mapped to C43.9 ""unspecified"" rather than to category header",,,,No,,
275,275,258,,C45,Neoplasms,Malignant Neoplasm (Kaposi sarcoma),Malignant Neoplasm (Kaposi sarcoma),,No,Kaposi sarcoma,Malignant Neoplasm (Kaposi sarcoma),Malignant Neoplasm (Kaposi sarcoma),No,,1146,C46.-,C46.-,No,Same As,C46.9,"Kaposi sarcoma, unspecified",Yes,"Mapped to C46.9 ""unspecified"" rather than to category header",,,,No,,
