Indicator ID,Original HSTP Indicator ID,Mapping Category,HSTP Category 1,HSTP Category 2,Indicator Title,Indicator Type,Datatype,Baseline,Yearly Target 1,Yearly Target 2,Yearly Target 3,Yearly Target 4,Yearly Target 5,Data Source,Periodicity,Level of Data Collection,Notes For MOH Review,"MOH Mapping Exercise from ""Indicators_present in HSTP but not HMIS.xlsx""","Renee
HMIS Indicator Mapping Exercise (in progress)",Additional Notes
95.2,94.2,HMIS Not Confirmed,P1: Improve equitable access to quality health services,NCD,Proportion of eligible population who received mental health service disaggregated by disease type: Depression,Output,Numeric,1%,,,,20%,,HMIS,Routine,All health facilities,Yearly target #4 appears that it should be for Year #5. Recommend moving to Year 5. Requires MOH review.,Not found,,
95.3,94.3,HMIS Not Confirmed,P1: Improve equitable access to quality health services,NCD,Proportion of eligible population who received mental health service disaggregated by disease type: Bipolar Disorder,Output,Numeric,2%,,,,30%,,HMIS,Routine,All health facilities,Yearly target #4 appears that it should be for Year #5. Recommend moving to Year 5. Requires MOH review.,Not found,,
95.4,94.4,HMIS Derivative,P1: Improve equitable access to quality health services,NCD,Proportion of eligible population who received mental health service disaggregated by disease type: Epilepsy,Output,Numeric,15%,,,,50%,,HMIS,Routine,All health facilities,Yearly target #4 appears that it should be for Year #5. Recommend moving to Year 5. Requires MOH review.,Not found,,
96.1,95.1,HMIS Not Confirmed,P1: Improve equitable access to quality health services,NCD,Proportion of eligible population treated for substance use disorder disaggregated by substance type: Tobacco,Output,Numeric,0%,,,,,15%,HMIS,Routine,All health facilities,,Not found,,
96.2,95.2,HMIS Not Confirmed,P1: Improve equitable access to quality health services,NCD,Proportion of eligible population treated for substance use disorder disaggregated by substance type: Alcohol,Output,Numeric,1%,,,,,15%,HMIS,Routine,All health facilities,,Not found,,
97,96,Case Team,P1: Improve equitable access to quality health services,NCD,Proportion of Woredas with mental health services,Output,Numeric,,60,70,80,90,100,Admin report,Routine,All health facilities,Missing baseline,Not found,,
98,97,Survey,P1: Improve equitable access to quality health services,Hygiene and Environmental Health,Proportion of households with access to improved latrines and hand washing facilities,Outcome,Numeric,<28,,,60,,82,EDHS/WMS,5 years/2-3 years,Household,,Not found,Similar to C1.3.1 and C1.3.2,
99,98,Survey,P1: Improve equitable access to quality health services,Hygiene and Environmental Health,Proportion of households using household water treatment and safe storage practice,Outcome,Numeric,10,,,25,,35,Special Survey,2-3 years,Household,,Not found,,
100,99,Survey,P1: Improve equitable access to quality health services,Hygiene and Environmental Health,Proportion of Open Defacation Free (ODF) and verified kebeles,Output,Numeric,18,,,50,,82,Special Survey,2-3 years,Woreda Health Office,,Not found,C1.3.3,
101,100,Survey,P1: Improve equitable access to quality health services,Hygiene and Environmental Health,Proportion of health institutions with gender and disability sensitive complete WASH package,Output,Numeric,NA,20,30,40,50,60,Special Survey/Admin Report,2-3 years/routine,All health facilities,,Not found,,
102,101,Case Team,P1: Improve equitable access to quality health services,Hygiene and Environmental Health,Proportion of households with proper solid waste collection and disposal service,Output,Numeric,NA,10,15,20,30,40,Admin Report/Special Survey,Annual/2-3 years,Household,,Not found,,
103.1,102.1,Case Team,P1: Improve equitable access to quality health services,Hygiene and Environmental Health,Number of Sanitation Marketing Centers: Non-Pastoralist,Input,Numeric,20,50,130,210,290,400,Admin Report,Annual,Town administration,This is a disaggegation category of indicator 102 that is not assigned an ID. Recommend assigning ID of 103.1 (based on renumbering). Requires MOH review.,Not found,,
103.2,102.2,Case Team,P1: Improve equitable access to quality health services,Hygiene and Environmental Health,Number of Sanitation Marketing Centers: Pastoralist,Input,Numeric,5,20,40,60,80,100,Admin Report,Annual,Town administration,This is a disaggegation category of indicator 102 that is not assigned an ID. Recommend assigning ID of 103.2 (based on renumbering). Requires MOH review.,Not found,,
104,103,HMIS Match,P1: Improve equitable access to quality health services,Clinical Service,Outpatient attendance per capita,Output,Numeric,0.48,0.8,1,1.5,1.8,2,HMIS,Routine,All health facilities,,Expected in HMIS,,
105,104,HMIS Match,P1: Improve equitable access to quality health services,Clinical Service,Bed Occupancy Rate,Output,Numeric,68,70,75,80,85,85,HMIS,Routine,All health facilities,,Expected in HMIS,,
106,105,HMIS Match,P1: Improve equitable access to quality health services,Clinical Service,Average length of stay (in days),Output,Numeric,4.3,5,5,5,5,5,HMIS,Routine,All health facilities,,Expected in HMIS,,
107,106,Case Team,P1: Improve equitable access to quality health services,Clinical Service,Emergency patient triaged within 5 minutes,Output,Numeric,80,90,100,100,100,100,Admin Report,Routine,All health facilities,,Not found,,
108,107,Case Team,P1: Improve equitable access to quality health services,Clinical Service,Waiting time for elective surgeries in every hospital (in months),Output,Numeric,NA,,,,,1,Admin Report,Routine,All health facilities,,Not found,,
109,108,Case Team,P1: Improve equitable access to quality health services,Clinical Service,Surgical site infection rate,Output,Numeric,1.8,1.5,1,1,0.5,0.1,Admin Report,Routine,All health facilities,,Not found,,
110,109,Case Team,P1: Improve equitable access to quality health services,Clinical Service,Proportion of hospital and regional laboratories with SLIPTA Star-levels 1-5,Input,Numeric,60,70,80,90,95,100,Admin Report,Routine,EPHI,,Expected in HMIS,,
111,110,Case Team,P1: Improve equitable access to quality health services,Clinical Service,Proportion of health center laboratories with SLIPTA Star-levels 1-5,Input,Numeric,1,5,10,13,15,20,Admin Report,Routine,EPHI,,Not found,,
112,111,Case Team,P1: Improve equitable access to quality health services,Clinical Service,Proportion of laboratories of general and referral hospitals accredited with ISO 15189 and/or 17025 (%),Input,Numeric,2,20,40,60,80,100,Admin Report,Routine,EPHI,,Not found,,
113,112,Case Team,P1: Improve equitable access to quality health services,Clinical Service,Proportion of Health Centers implementing comprehensive Laboratory Quality Management System (LQMS),Input,Numeric,75,80,85,90,95,100,Admin Report,Routine,EPHI,,Not found,,
114,113,Case Team,P1: Improve equitable access to quality health services,Clinical Service,"Proportion of blood collected from VNRBDs (voluntary, non-remunerated blood donation)",Output,Numeric,62,70,80,90,95,100,Admin Report,Routine,NBTS,,Not found,,
115,114,Case Team,P1: Improve equitable access to quality health services,Clinical Service,Proportion of hospitals accessing 80% of the blood from the NBTS and its network,Output,Numeric,NA,20,40,60,80,100,Admin Report,Routine,Health Facility/NBTS,,Not found,,
116,115,Case Team,P2: Improve Health Related Disaster Risk Management,,Proportion of affected people provided rehabilitation,Outcome,Numeric,36,80,85,85,85,95,Admin Report,Annual,EPHI,,Not found,,
117,116,Case Team,P2: Improve Health Related Disaster Risk Management,,"Proportion of woredas and health facilities assessed annually for levels of safety, security and preparedness",Output,Numeric,NA,50,60,70,80,85,Admin Report,Annual,EPHI,,Not found,,
118,117,Case Team,P2: Improve Health Related Disaster Risk Management,,Proportion of epidemics controlled within the standard of mortality,Outcome,Numeric,NA,50,60,75,85,85,Admin Report,Annual,EPHI,,Not found,,
119,118,Case Team,P2: Improve Health Related Disaster Risk Management,,Proportion of health facilities reporting complete and timely weekly diseases report,Output,Numeric,77,85,90,95,95,95,Admin Report,Annual,EPHI,,Not found,,
120,119,Case Team,P2: Improve Health Related Disaster Risk Management,,Proportion of identified potential epidemics with adequate Emergency Drug Kits (EDKs) and other supplies,Outcome,Numeric,71,75,80,85,90,95,Admin Report,Annual,EPHI,,Not found,,
121,120,Case Team,P4: Improve regulatory system,,Inspection coverage of food establishment,Output,Numeric,60%,65%,75%,80%,85%,90%,Admin Report,Annually,FMHACA,,Not found,,
122,121,Case Team,P4: Improve regulatory system,,Number of registered food,Output,Numeric,92,200,600,700,900,600,Admin Report,Annually,FMHACA,Yearly Target #5 does not make sense given the progression of the other four years of targets. Recommend revising. Requires MOH review.,Not found,,
123,122,Case Team,P4: Improve regulatory system,,Quality and safety ensured food available in the market,Outcome,Numeric,NA,,,85%,,100%,Admin Report,Annually,FMHACA,,Not found,,
124,123,Case Team,P4: Improve regulatory system,,Consignment laboratory test coverage of food,Output,Numeric,14%,30%,45%,60%,75%,80%,Admin Report,Annually,FMHACA,,Not found,,
125,124,Case Team,P4: Improve regulatory system,,Post market surveillance coverage of food available in the market,Output,Numeric,10%,14%,34%,59%,79%,100%,Admin Report,Annually,FMHACA,,Not found,,
126,125,Case Team,P4: Improve regulatory system,,Number of food establishments that implement internal quality assurance system,Outcome,Numeric,NA,10%,20%,30%,40%,50%,Admin Report,Annually,FMHACA,,Not found,,
127,126,Case Team,P4: Improve regulatory system,,Inspection coverage of health products manufacturers and suppliers,Output,Numeric,80%,87%,95%,98%,100%,100%,Admin Report,Annually,FMHACA,,Not found,,
128,127,Case Team,P4: Improve regulatory system,,Number of registered medicines,Output,Numeric,1375,400,800,1200,1500,1100,Admin Report,Annually,FMHACA,Yearly Target #5 does not make sense given the progression of the other four years of targets. Recommend revising. Requires MOH review.,Not found,,
129,128,Case Team,P4: Improve regulatory system,,"Quality, safety and efficacy ensured health products available in the market",Outcome,Numeric,NA,,,94%,,100%,Admin Report,Annually,FMHACA,,Not found,,
130,129,Case Team,P4: Improve regulatory system,,"Quality, safety and efficacy ensured of traditional medicines in the market",Outcome,Numeric,0,0,0,1,3,10,Admin Report,Annually,FMHACA,,Not found,,
131,130,Case Team,P4: Improve regulatory system,,Consignment laboratory test coverage of health products,Outcome,Numeric,3.40%,7%,10%,15%,20%,25%,Admin Report,Annually,FMHACA,,Not found,,
132,131,Case Team,P4: Improve regulatory system,,Post market surveillance coverage of health products,Outcome,Numeric,3%,11%,20%,33%,50%,55%,Admin Report,Annually,FMHACA,,Not found,,
133,132,Case Team,P4: Improve regulatory system,,Number of health products manufacturers and suppliers that implement internal quality assurance,Outcome,Numeric,40%,40%,50%,65%,75%,85%,Admin Report,Annually,FMHACA,,Not found,,
134,133,Case Team,P4: Improve regulatory system,,"Number of licensed, ethical and competent health professionals",Outcome,Numeric,46%,60%,80%,95%,100%,100%,Admin Report,Annually,FMHACA,,Not found,,
135,134,Case Team,P4: Improve regulatory system,,Number of registered and licensed traditional medicine practitioners,Output,Numeric,0,100,150,200,300,1150,Admin Report,Annually,FMHACA,Yearly Target #5 does not appear correct based on the sequence of targets. Recommend revising. Requires MOH review.,Not found,,
136,135,Case Team,P4: Improve regulatory system,,Inspection coverage of healthcare facilities,Output,Numeric,70%,75%,85%,90%,95%,100%,Admin Report,Annually,FMHACA,,Not found,,
137,136,Case Team,P4: Improve regulatory system,,Number of healthcare facilities implementing the national healthcare facility standards,Outcome,Numeric,17%,60%,75%,90%,100%,100%,Admin Report,Annually,FMHACA,,Not found,,
138,137,Case Team,P4: Improve regulatory system,,Inspection coverage of hygiene and communicable diseases in health related facilities,Output,Numeric,70%,70%,80%,95%,100%,100%,Admin Report,Annually,FMHACA,,Not found,,
139,138,Case Team,P4: Improve regulatory system,,Percentage of capacity to prevent and control the epidemic diseases,Output,Numeric,80%,80%,90%,100%,100%,100%,Admin Report,Annually,FMHACA,,Not found,,
140,139,Case Team,P4: Improve regulatory system,,Percentage of tobacco smoke free public places,Output,Numeric,30%,30%,45%,60%,60%,75%,Admin Report,Annually,FMHACA,,Not found,,
141,140,Case Team,P4: Improve regulatory system,,The percentage of substandard medicines circulating in the market,Output,Numeric,8%,8%,6%,4%,2%,1%,Admin Report,Annually,FMHACA,,Not found,,
142.1,141.1,Survey,P5: Improve Logistics Supply and Management,,Availability of essential drugs by level of health care: Primary health care,Input,Numeric,90,92,94,96,98,100,LMIS/Special study,Annual,All Health Facilities/PFSA,This is a disaggegation category of indicator 141 that is not assigned an ID. Recommend assigning ID of 141.1. Requires MOH review.,Expected in HMIS,,
142.2,141.2,Survey,P5: Improve Logistics Supply and Management,,Availability of essential drugs by level of health care: Secondary health care,Input,Numeric,90,91,92,93,94,95,LMIS/Special study,Annual,All Health Facilities/PFSA,This is a disaggegation category of indicator 141 that is not assigned an ID. Recommend assigning ID of 141.2. Requires MOH review.,Expected in HMIS,,
142.3,141.3,Survey,P5: Improve Logistics Supply and Management,,Availability of essential drugs by level of health care: Tertiary health care,Input,Numeric,90,90,90,90,90,90,LMIS/Special study,Annual,All Health Facilities/PFSA,This is a disaggegation category of indicator 141 that is not assigned an ID. Recommend assigning ID of 141.3. Requires MOH review.,Expected in HMIS,,
143,142,Case Team,P5: Improve Logistics Supply and Management,,Direct delivery of pharmaceuticals to health facilities,Input,Numeric,67,75,85,90,95,100,Admin Report,Annual,,,Not found,,
144,143,Case Team,P5: Improve Logistics Supply and Management,,Proportion of essential drugs procured from local manufacturers,Input,Numeric,25,35,45,50,55,60,Admin Report,Annual,,,Not found,,
145,144,Case Team,P5: Improve Logistics Supply and Management,,Procurement lead time (days),Input,Numeric,240,220,200,180,160,120,Admin Report,Annual,,,Not found,,
146,145,Case Team,P5: Improve Logistics Supply and Management,,Time taken for port clearance (days),Input,Numeric,NA,,,,,<8,Admin Report,Annual,PFSA,,Not found,,
147,146,Survey,P5: Improve Logistics Supply and Management,,Percentage of stock wasted due to expiry,Input,Numeric,8,7,6,5,4,2,LMIS/Special study,Annual,All Health Facilities/PFSA,,Not found,,
148,147,Survey,P5: Improve Logistics Supply and Management,,Proportion of patients with adequate information on dispensed drugs,Input,Numeric,68,75,85,90,95,100,Special study,2-3 years,All Health Facilities/PFSA,,Not found,,
149,148,HMIS Not Confirmed,"P6: Improve community participation, & engagement",,Number of households regularly engaged in Health Development Army (HDA),Output,Numeric,26,,,,,90,HMIS,Routine,Woreda Health Office,,Not found,,
150,149,Case Team,P7: Improve Resource Mobilization,,Proportion of woredas with established CBHI schemes,Output,Numeric,15,,,,,80,Admin Report,Annual,Health Insurance Agency,,Not found,,
151,150,Case Team,P7: Improve Resource Mobilization,,Proportion of employees enrolled in social health insurance,Output,Numeric,NA,100,100,100,100,100,Admin Report,Annual,Health Insurance Agency,,Not found,,
152,151,Survey,P7: Improve Resource Mobilization,,Out of Pocket Expenditure as a share of total health expenditure (THE),Input,Numeric,33.7,,,,,15,NHA,5 years,Population,,Not found,,
153,152,Case Team,P7: Improve Resource Mobilization,,General government expenditure on health (GGHE) as a share of total general government expenditure (GGE),Input,Numeric,6%,,,,,,Admin Report,Annual,FMOH,Missing targets,Not found,,
154,153,HMIS Match,P8: Improve Research and Evidence for Decision Making,,Percent of report completeness,Output,Numeric,72,80,85,90,90,90,HMIS,Routine,All Health Facilities,,Expected in HMIS,,
155,154,HMIS Match,P8: Improve Research and Evidence for Decision Making,,Percent of report timeliness,Output,Numeric,84,80,85,90,90,90,HMIS,Routine,All Health Facilities,,Expected in HMIS,,
156,155,Case Team,P8: Improve Research and Evidence for Decision Making,,Proportion of health facilities conducted Lots quality assurance Sampling (LQAS),Output,Numeric,36,65,75,80,85,85,Admin Report,Annual,All Health Facilities,,Expected in HMIS,,
157,156,Case Team,P8: Improve Research and Evidence for Decision Making,,Proportion of health facilities met the data verification factor within 10% range for SBA,Output,Numeric,71,75,75,80,85,85,Admin Report,Annual,All Health Facilities,,Not found,,
158,157,Survey,P8: Improve Research and Evidence for Decision Making,,"Proportion of health institutions that met minimum information use standards/criteria (regular performance review with plan Vs achievements, root cause analysis, charts/figures display, action plans, shares responsibility and track implementation of endorsed plan)",Output,Numeric,29,50,65,75,80,90,Special Survey,Annual,All Health Facilities,,Expected in HMIS,,
159,158,Case Team,P8: Improve Research and Evidence for Decision Making,,Proportion of synthesized evidence-based information utilized for decision making,Outcome,Numeric,NA,,100%,100%,100%,100%,Admin Report,Annual,EPHI,,Not found,,
160,159,Case Team,P8: Improve Research and Evidence for Decision Making,,Proportion of health facilities who received integrated supportive supervision at least once per year,Output,Numeric,100%,100%,100%,100%,100%,100%,Admin Report,Annual,,,Expected in HMIS,,
161,160,Case Team,P8: Improve Research and Evidence for Decision Making,,Number of publications produced on peer reviewed journals,Output,Numeric,93*,48,52,74,80,90,Admin Report,Annual,EPHI,,Not found,,
162,161,Case Team,P8: Improve Research and Evidence for Decision Making,,Number of technical reports produced from research and surveillance,Output,Numeric,48,52,74,80,90,100,Admin Report,Annual,EPHI,,Not found,,
163,162,Case Team,P8: Improve Research and Evidence for Decision Making,,Proportion of birhts registered at the health facilities as per the Civil Registration system of Ethiopia,Output,Numeric,NA,50%,60%,70%,80%,90%,Admin Report,Annual,VERA,,Not found,,
164,163,Case Team,P8: Improve Research and Evidence for Decision Making,,Proportion of deaths registered at the health facilities as per the Civil Registration system of Ethiopia,Output,Numeric,NA,12%,17%,22%,27%,30%,Admin Report,Annual,VERA,,Not found,,
165,164,Case Team,CB1: Enhance use of technology & Innovation,,Number of biotechnological vaccines and biological product types distributed,Output,Numeric,1,1,1,3,3,3,Admin Report,Annual,EPHI,,Not found,,
166,165,Case Team,CB1: Enhance use of technology & Innovation,,Number of food and traditional medicines production packages generated and distributed,Output,Numeric,1,1,4,4,5,5,Admin Report,Annual,EPHI,Duplicate of 167,Not found,,
167,166,Case Team,CB1: Enhance use of technology & Innovation,,Number of biotechnological vaccines and biological product types distributed (cumulative),Output,Numeric,1,1,1,3,3,3,Admin Report,Annual,EPHI,,Not found,,
168,167,Case Team,CB1: Enhance use of technology & Innovation,,Number of food and traditional medicines production packages generated and distributed,Output,Numeric,1,1,4,4,5,5,Admin Report,Annual,EPHI,Duplicate of 165,Not found,,
169,168,Case Team,CB1: Enhance use of technology & Innovation,,Number of types of diagnostic technologies evaluated and disseminated,Output,Numeric,2,10,13,12,12,13,Admin Report,Annual,EPHI,,Not found,,
170,169,Case Team,CB1: Enhance use of technology & Innovation,,Proportion of types of diagnostic technologies utilized,Output,Numeric,100,70,77,92,92,100,Admin Report,Annual,EPHI,,Not found,,
171,170,Case Team,CB1: Enhance use of technology & Innovation,,Proportion of Health facilities implementing e-HMIS,Input,Numeric,<50,60%,70%,80%,90%,100%,Admin Report,Annual,Woreda Health Office,,Not found,,
172,171,Case Team,CB1: Enhance use of technology & Innovation,,Proportion of facilities equipped with medical equipment as per the essential medical equipment list,Input,Numeric,NA,,,,,80%,Admin Report,Annual,Woreda Health Office,,Not found,,
173,172,Case Team,CB1: Enhance use of technology & Innovation,,"Number of social innovations identified, formulated and scaled up (cumulative)",Input,Numeric,,1,2,3,4,5,Admin Report,Annual,FMOH,Missing baseline,Not found,,
174,173,Case Team,CB2: Improve Development & Management of HRH,,"Health workers per 1,000 population",Input,Numeric,0.84,1,1.2,1.3,1.5,1.6,Admin Report,Annual,Woreda Health Office,,Expected in HMIS,,
175,174,HMIS Match,CB2: Improve Development & Management of HRH,,Staff attrition rate,Input,Numeric,6.6,6,5.5,5,4.5,4,HMIS/Admin Report,Annual,All Health Facilities,,Expected in HMIS,,
176,175,Survey,CB3: Improve health infrastructure,,Maintain potential Primary Health Coverage,Input,Numeric,98%,98%,100%,100%,100%,100%,Special survey,2-3 years,Woreda Health Office,,Expected in HMIS,,
177,176,Case Team,CB3: Improve health infrastructure,,"Proportion of health facilities with functional electricity, water, sanitation facilities and networking equipment",Input,Numeric,<50%,65%,70%,80%,90%,100%,Admin Report,Annual,Woreda Health Office,,Expected in HMIS,,
