Indicator ID,HMIS Category 1,HMIS Category 2,HMIS Category 3,HMIS Category 4,Indicator Title,Definition,Class,Datatype,Formula Type,Formula: Numerator,Formula: Denominator,Formula: Multiplier,Interpretation,Disaggregation,Recommendation,Primary Sources,Reporting Frequency,Applicable Reporting Units,Instruments,HSTP Indicator Map,WHO IMR Mappings,Logical Groupings,Notes
C1.1.3.7,C1: Access to Health Service,C1.1 Maternal and Child Health,C1.1.3 Child Health,,Measles immunization coverage (< 1 year),Proportion of surviving infants who have received a dose of measles vaccine before their first birthday.,Indicator,Numeric,Indicator,Number of children under one year of age who have received measles vaccine ,Total number of surviving infants,100,"Measles immunization coverage has a strong inverse correlation with the prevalence of the disease, especially amongst children under 5. It is an essential component for reducing under-five mortality. Increasing coverage should be accompanied by decreasing cases of the disease. It is a good indicator of health system performance. Measles is usually the last of the infant immunizations given, as per the EPI schedule.  ",None,,"Service delivery tally (for HP), Immunization register",Monthly,"HP, HC/Clinic, Hospital, WorHO, ZHD/ScHO, RHB, FMOH",,31,,,
C1.1.3.8,C1: Access to Health Service,C1.1 Maternal and Child Health,C1.1.3 Child Health,,Full immunization coverage (< 1 year),Proportion of surviving infants who receive all doses of vaccines before their first birthday. ,Indicator,Numeric,Indicator,"Number of children received all vaccine doses before 1st birthday",Total number of surviving infants,100,"Fully immunized child (FIC): The indicator measures the capability of the system to provide all vaccines in the childhood schedule at the appropriate age and the appropriate interval between doses in the first year of life; also measures public demand and perceived quality of services.

Different surveys and routine reports consider all the antigens included in the routine EPI program to determine the FIC coverage (EDHS 2011, EPI coverage survey, 2006 &2011). Therefore, by definition all the antigens including the newly introduced PCV and Rota vaccines should be included in the definition of a fully vaccinated child in the context of Ethiopia.

Though the definition of FIC varies from country to country, the definition in Ethiopia should consider a child as fully immunized when he/she received  BCG vaccine, 3 doses of DPT-Hib-HepB , 3 doses of  Polio , 3 doses of PCV ,2 doses of  Rota and 1 dose of measles before the age of 1 year. 

Surviving infants refers to infants who survive to their first birthday.",None,,"Service delivery tally (for HP), Immunization register",Monthly,"HP, HC/Clinic, Hospital, WorHO, ZHD/ScHO, RHB, FMOH",,None,,,
C1.1.3.9,C1: Access to Health Service,C1.1 Maternal and Child Health,C1.1.3 Child Health,,Proportion of infants protected at birth against neonatal tetanus,Proportion of infants who were protected from neonatal tetanus (NNT) by the immunization of their mothers with tetanus toxoid.,Indicator,Numeric,Indicator,Number of Infants whose mothers had protective doses of TT,Estimated number of live births,100,"TT immunization for pregnant women is a proven strategy for achieving the goal of eliminating neonatal tetanus.  In the past, coverage of TT2+ doses for pregnant women was used to monitor implementation of this strategy.  In keeping with global EPI standards and recommendations, the Ethiopian EPI uses PAB as its NNT prevention indicator. This indicator measures the percentage of infants who were protected from NNT at birth by the immunization of their mothers with TT before birth. Protection at birth is estimated by asking mothers about their TT immunization history when they bring an infant for pentavalent 1 immunization.  The best way to measure this indicator is during the first visit of the infant for its penta 1 dose. Ask the mother accompanying the infant if she has had a TT record card. If she has not, ask if she can remember receiving doses of TT during pregnancy. You can consider that the infant was protected from NNT at its birth (PAB) if the mother has received: Two doses of TT during the recent pregnancy or at least three doses of TT in the past. ",None,,"Service delivery tally (for HP), Immunization register and Growth Monitoring register",Monthly,"HP, HC/Clinic, Hospital, WorHO, ZHD/ScHO, RHB, FMOH",,None,,,
C1.1.3.10,C1: Access to Health Service,C1.1 Maternal and Child Health,C1.1.3 Child Health,,Vaccine wastage rate,"Proportion of vaccine doses opened but not consumed during the delivery of immunization service to children.   

Formula: 100 - (((Number of doses given)/(Doses opened))x100)",Indicator,Numeric,Rate,100 - (((Number of doses given)/(Doses opened))x100),,,"Vaccines and their management form a major component of the national immunization Program. Regular supply of vaccines and their efficient management is paramount to the success and effectiveness of all immunization Programs. The vaccine wastage rate is influenced by several factors that can be controlled by policy.  These include the policy on when to open vials and vial size to be procured.

The wastage rate should be monitored for each vaccine, and particularly for the more expensive ones.  The policy in Ethiopia is to provide immunization on demand; this means that vaccine wastage rates may increase and may be difficult to control. ",None,,"Service delivery tally (for HP), Immunization register and EPI logistics records
",Monthly,"HP, HC/Clinic, Hospital, WorHO, ZHD/ScHO, RHB, FMOH",,None,,,"Formula is a RATE

Doses opened = Sum of all doses in all vials opened. ( Note: the same vaccine may be packaged in different size vials)

NOTE: Vaccine wastage rate for each specific vaccine should be calculated separately.

NOTE: Vaccine Usage Rate = ((Number of doses given)/(Doses opened))x100"
C1.1.3.11,C1: Access to Health Service,C1.1 Maternal and Child Health,C1.1.3 Child Health,,Early institutional neonatal death rate,The proportion of deaths within the first 7 days of life from total births attended by skilled health attendants in the facility.  ,Indicator,Numeric,Indicator,Number of deaths in the first 7 days of life,Total number of live births attended by skilled health attendants,100,"The early neonatal death rate mainly defines the quality of obstetric care in the facility in Ethiopian context. Among other potential causes, the three main causes are prematurity, birth asphyxia, and neonatal sepsis. (The three main causes, along with other neonatal conditions, are included in the HMIS inpatient morbidity and mortality report.) Deaths of children delivered in a facility, but who die outside the facility in the first 7 days of life, are not captured.  The magnitude of these deaths is not known.","Time of death: 0-24hrs; 1-6 days",,"Delivery, PNC, and IPD registers",Monthly,"HC/Clinic, Hospital, WorHO, ZHD/ScHO, RHB, FMOH",,5?,,,
C1.1.3.12,C1: Access to Health Service,C1.1 Maternal and Child Health,C1.1.3 Child Health,,Early Neonatal death rate at community,"The proportion of deaths within the first seven days of life from total births in the kebele  ",Indicator,Numeric,Indicator,Number of deaths in the first seven days of life,Total number of live births in the same kebele,100,"The neonatal death rate mainly defines the quality of care provided for neonates in the Ethiopian context. Among other potential causes, the three main causes are prematurity, birth asphyxia, and neonatal sepsis. (The three main causes, along with other neonatal conditions, are included in the HMIS inpatient morbidity and mortality report.) Neonatal community death in the first month of life, are not captured.  The magnitude of these deaths is not known.","Time of death: 0-24hrs; 1-6 days",,Family Folder,Monthly,"HP, HC/Clinic, WorHO, ZHD/ScHO, RHB, FMOH",,5?,,,At the reporting level HC/Clinic states: *N.B. HC aggregates reports received from HPs & sends to WorHO. 
C1.1.3.13,C1: Access to Health Service,C1.1 Maternal and Child Health,C1.1.3 Child Health,,Proportion of children treated for pneumonia ,Proportion of children treated for pneumonia at health facility and community (HP) ,Indicator,Numeric,Indicator,"Number of under 5 children treated for pneumonia 
",estimated number of under 5 children with pneumonia,100,"Pneumonia is one of the leading causes of death among children under 5 years of age. Therefore, pneumonia prevention and treatment is essential to the achievement of MDG 4. A key intervention for controlling pneumonia in children is prompt treatment with a full course of appropriate antibiotics. Effective case management at health post and health facility levels is needed to ensure that sick children receive appropriate treatment.

This indicator shows the proportion of under 5 children treated for pneumonia at health post and health facility levels.","Sex: Male, Female",,"HF Registers (OPD/IMNCI/ICCM, IPD), Disease information tally (for HP)",Monthly,"HP, HC/Clinic, Hospital, WorHO, ZHD/ScHO, RHB, FMOH",,None,,,"During the calculation of this indicator, the estimated prevalence (denominator) should be updated based on recent research findings."
C1.1.3.14,C1: Access to Health Service,C1.1 Maternal and Child Health,C1.1.3 Child Health,,Proportion of neonates treated for sepsis   ,"Proportion of newborns treated for sepsis within a given period",Indicator,Numeric,Indicator,"Number of neonates treated for sepsis",Estimated number of neonates with sepsis,100,"This indicator shows the proportion of neonatal sepsis in the catchment population and proportion of newborn treated for this very severe disease at all level of intervention areas.  ","Age: 0-23 hours 1-6 days, 7-28 days

Sex: Male, Female",,IPD Register,Monthly,"HC/Clinic, Hospital, WorHO, ZHD/ScHO, RHB, FMOH",,39,,,"During the calculation of this indicator, the estimated prevalence (denominator) should be updated based on recent research findings."
C1.1.3.15,C1: Access to Health Service,C1.1 Maternal and Child Health,C1.1.3 Child Health,,Proportion of neonates treated for asphyxia at health facility ,"Proportion of neonates treated for  birth asphyxia ",Indicator,Numeric,Indicator,"Number of  neonates treated for birth asphyxia ",Estimated number of neonates with birth asphyxia,100,"This indicator shows the proportion of birth asphyxia for health facility deliveries and proportion of newborns treated for birth asphyxia. In Ethiopia 10% of newborn faces problem related to breathing at birth. ","Age: 0-23 hours 1-6 days, 7-28 days

Sex: Male, Female",,"HF Registers (Delivery, IPD)",Monthly,"HC/Clinic, Hospital, WorHO, ZHD/ScHO, RHB, FMOH",,41,,,"During the calculation of this indicator, the estimated prevalence (denominator) should be updated based on recent research findings."
C1.2.1,C1: Access to Health Service,C1.2 Nutrition,,,Percentage of low birth weight (LBW) newborns,"Percentage of live births that weigh less than 2,500 g out of the total  live births during the same time period",Indicator,Numeric,Indicator,"Number of live-born babies with birth weight less than 2,500 g","Total number of live births weighed",100,"The LBW proportion is a rough summary measure of many factors, including maternal nutrition (during childhood, adolescence, pre-pregnancy and pregnancy), lifestyle (e.g. alcohol, tobacco and drug use), and other exposures in pregnancy.  LBW is strongly associated with a range of adverse health outcomes, such as peri-natal mortality and morbidity, infant mortality, disability and disease in later life, but is not necessarily part of the cause.  The main strength of LBW data is that they are relatively easy to measure. LBW is a strong predictor of an individual baby’s survival. The lower the birth weight, the higher the risk of death. Groups with lower mean birth weights show higher infant mortality rates. Examples are twins and infants of mothers with lower socioeconomic status. Efforts should focus on measuring birth weight immediately after delivery, on its accuracy and on appropriate care after birth, including growth monitoring.",None,,"Service delivery tally for (HP), Delivery Register
",Monthly,"HP, HC/Clinic, Hospital, WorHO, ZHD/ScHO, RHB, FMOH",,None,,,
C1.2.2,C1: Access to Health Service,C1.2 Nutrition,,,Percentage of underweight Children aged <5 years,"Percentage of underweight (weight-for-age less than -2 standard deviations of the WHO Child Growth Standards median) among children aged 0-5 years.",Indicator,Numeric,Indicator,"Number of weights reflecting underweight amongst children under 5 years of age","Total number of weights-for-age (WFAs) recorded amongst children under 5 years of age whose growth was monitored during a given time period in the catchment area",100,"In Ethiopia, this indicator is used as an early warning for potential famine.  This indicator is most sensitive to changes in the nutritional status of under fives when weights are recorded in well-child clinics.  Ill children typically suffer from weight loss, so their weights do not reflect the overall population; hence, this indicator is not collected in sick baby clinics.  It should be noted that this is not a population-based indicator.  This fact has two important consequences.  First, those weighed at facilities reflect a self-selected population.  Second, the indicator is calculated from weights recorded, not from persons weighed; weights from the same child may be included several times, especially when weights are aggregated over several months. ","Age; 0-24 months and 25-59 months old

Severity: Moderate (-2 to -3 Z-score) and severe (below -3 Z-score)",,"Service delivery tally for (HP), Immunization and Growth Monitoring registers",Monthly,"HP, HC/Clinic, Hospital, WorHO, ZHD/ScHO, RHB, FMOH",,8,,,
C1.2.3,C1: Access to Health Service,C1.2 Nutrition,,,Proportion of children 6 - 59 months with severe acute malnutrition,"Proportion of children 6-59 months with severe  acute malnutrition ",Indicator,Numeric,Indicator,"The total number of children screened and have severe acute malnutrition`","Total number of children screened",100,"This is an indicator for facility level prevalence of acute malnutrition. Increasing or decreasing proportion of acute malnutrition is proxy indicator of the nutritional status of the catchment population. Sharply increasing proportion of acute malnutrition may suggest the need for additional support to the health facility and nutritional intervention in the catchment community.

Severe acute malnutrition: MUAC <11cm or WFH (weight for height) <70% median (Used in health centers and hospitals) and/or bilateral pitting edema (used in all health facilities)",None,,"Service delivery tally for (HP), ICCM/IMNCI Registers",Monthly,"HP, HC/Clinic, Hospital, WorHO, ZHD/ScHO, RHB, FMOH",,None,,,
C1.2.4,C1: Access to Health Service,C1.2 Nutrition,,,Treatment outcome for management of severe acute malnutrition in children 6-59 months ,"Proportion of children 6-59 months with severe acute malnutrition that exit, defaulted, died, transferred or recovered.",Indicator,Numeric,Indicator,Number of children 6-59 months with severe acute malnutrition per exit status,The total number of children exiting from treatment for acute malnutrition ,100,"The time needed to achieve the exit indicators for a therapeutic feeding program is 1-2 months and for targeted supplementation is 2-3 months. Exits from a feeding program are those no longer registered. The population of exited individuals is made up those who have defaulted, recovered (including those who are referred) and died. Mortality rates should be interpreted in the light of coverage rates and the severity of malnutrition treated. Recovery rates: a discharged individual must be free from medical complications and have achieved and maintained sufficient weight gain (e.g. for two consecutive weigh-ins). Malnourished children admitted to feeding Programs are discharged with the following criteria: MUAC ≥11.0 cm AND ≥15% weight gain from admission weight with no edema for 2 consecutive visits (at hospital level WFH ≥85 %.) The expected cure rate is >75%.Defaulter rates can be high when the program is not accessible to the population. Accessibility may be affected by the distance of the treatment point from the community, an ongoing armed conflict, a lack of security, the level of support offered to the care giver of the individual treated, the number of care givers who are left at home to look after other dependents (this may be very few in situations of high HIV/AIDS prevalence), and the quality of the care provided. A defaulter from a feeding program is an individual who has not attended 3 consecutive visits and it is confirmed that the child is alive for out-patient services. Expected default rate is <15%. Died: Mortality rates should be interpreted in the light of coverage rates and the severity of malnutrition treated. Expected death rate is <5%. ","Exit status: defaulted, died, recovered, transferred","Disaggregation for C1.2.4 is per exit status, in the numerator of the formula. The Indicator Definitions document disaggregates within the formula in addition to the disaggregation field.

The recommendation is to retain the indicator as a single item in the data dictionary, rather than including a separate indicator with unique formula per disaggregation. The indicator should define the expected disaggregation in the Disaggregation column, rather than the Formula definition.",IPD,Monthly,"HC/Clinic, Hospital, WorHO, ZHD/ScHO, RHB, FMOH",,None,,,NOTE CHANGE: four indicators (A-D) for a single HMIS indicator C1.2.4
C1.2.5,C1: Access to Health Service,C1.2 Nutrition,,,Proportion of children aged 6-59 months who received vitamin A supplementation,Proportion of children aged 6–59 months who received a dose of vitamin A supplement ,Indicator,Numeric,Indicator,Total number of children aged 6-59 months who received a dose of vitamin A supplementation in the reporting period,"Estimated number of children aged 6-59 months",100,"Supplementation with vitamin A is considered to be a critically important intervention for child survival owing to the strong evidence that exists for its impact on reducing child mortality. Therefore, measuring the number of children who have received vitamin A  is crucial for monitoring coverage of interventions towards the child survival-related Millennium Development Goals and Strategies. Vitamin A doses given for treatment purpose should not be counted as supplementation.",None,,"Service delivery tally (for HP), Growth monitoring register, Immunization register; ICCM/IMNCI Register ",Monthly,"HP, HC/Clinic, Hospital, WorHO, ZHD/ScHO, RHB, FMOH",,46,,,
C1.2.6,C1: Access to Health Service,C1.2 Nutrition,,,Proportion of children aged 2-5 years de-wormed,"Proportion of children aged 2-5 years de-wormed.",Indicator,Numeric,Indicator,"The number of children aged 2-5yrs who received two doses of albendazole/ mebendazole ","Estimated number of children aged 2-5 years",100,"Supplementation with albendazole/ mebendazole (de-worming) is considered to be a critically important intervention for prevention of anemia in children that has an impact on reducing child mortality. Therefore, measuring the proportion of children who have received two doses of albendazole/ mebendazole (de-wormed) is crucial for monitoring coverage of interventions.",None,,"Service delivery tally (for HP), Growth monitoring Register, ICCM/IMNCI Register",Annually,"HP, HC/Clinic, Hospital, WorHO, ZHD/ScHO, RHB, FMOH",,47,,,
C1.3.1,C1: Access to Health Service,C1.3 Hygiene and Environmental Health,,,Proportion of households’ access to latrine facilities,"Proportion of households’ access to any type of latrine facilities",Indicator,Numeric,Indicator,"Number of households with any type of latrine facilities (both unimproved and improved)","Total number of households",100,"Use of latrines is known to reduce the morbidity of communicable diseases, particularly those transmitted by the fecal oral route, such as diarrhea, hepatitis, etc. Access to a latrine must be accompanied by appropriate utilization and availability of hand washing facilities after use.  This is usually assessed by survey; in Ethiopia, routine visits to each household by Health Extension Workers (HEWs) offer an alternative method to surveys. 

Improved latrine = Hand washing facility + Slab + Ventilation pipe (superstructure)
Unimproved: = simple pit latrine without ventilation  ","Improved latrine

Unimproved latrine",,Service delivery tally (for HP),Quarterly,"HP, HC/Clinic, WorHO, ZHD/ScHO, RHB, FMOH",,Similar to 87,,,At the reporting level HC/Clinic states: *N.B. HC aggregates reports received from HPs & sends to WorHO. 
C1.3.2,C1: Access to Health Service,C1.3 Hygiene and Environmental Health,,,Proportion of HHs using latrine,"Proportion of households that use latrine for defecation purpose properly",Indicator,Numeric,Indicator,"Number of households utilizing latrines properly
","Total number of HHs with latrine in the catchment area",100,"Use of latrines is known to reduce the morbidity of communicable diseases. This is particularly true of diseases transmitted by fecal oral route such as diarrhea and evidenced when there is feces in pit, visible access, absence of spider webs, absence of feces around household or pit latrine, and a well maintained superstructure.",None,,Administrative record,Quarterly,"HP, HC/Clinic, WorHO, ZHD/ScHO, RHB, FMOH",,Similar to 87,,,At the reporting level HC/Clinic states: *N.B. HC aggregates reports received from HPs & sends to WorHO. 
C1.3.3,C1: Access to Health Service,C1.3 Hygiene and Environmental Health,,,Kebele declared ‘Open Defecation Free’,"Proportion of kebeles declared open defecation free ",Indicator,Numeric,Indicator,"Number of kebeles that have been declared open defecation free",Total number of kebeles,100,"Open defecation free(ODF) indicates the entire community (households, schools, religious institutions, etc.) stopped the practice of open defecation and continues to maintain this status for at least three months showing almost no indication of reverting to this practice. For this purpose, the rigorous verification and certification procedures are followed before kebeles are declared ODF. 

Village coordination committee requests kebele for verification of ODF status, proper practice of hand washing and household water handling at their respective villages. Similarly, kebele CLTS Coordination Committee requests woredas for verification of ODF status, proper practice of hand washing and household water handling at home in their respective kebele (HH and institution). ",None,,Administrative record,Quarterly,"HC/Clinic, WorHO, ZHD/ScHO, RHB, FMOH",,89,,,
C1.4.1.1,C1: Access to Health Service,C1.4 Prevention and Control of Diseases,C1.4.1 All diseases,,Top 10 causes of morbidity,"The ten leading causes of morbidity per 1,000 population",Indicator,Numeric,Indicator,"Number of new OPD + IPD Cases from specific diseases",Total population in the catchment area,1000,"Provides evidence regarding priorities for planning and resource allocation. The top ten causes should be listed, from highest to lowest.  The total number of cases seen at OPD and IPD and the cases per 1,000 should also be included for comparison.","Age: 0-4, 5-14, >=15 

Sex: Male, Female",,"Outpatient (OPD) registers, Inpatient register",Monthly,"HP, HC/Clinic, Hospital, WorHO, ZHD/ScHO, RHB, FMOH",,None,,,
C1.4.1.2,C1: Access to Health Service,C1.4 Prevention and Control of Diseases,C1.4.1 All diseases,,Top 10 causes of institutional mortality ,"The ten leading causes of mortality",Indicator,Numeric,Indicator,"Number of IPD deaths from specific disease","Total number of admissions",100,"The top ten causes can be derived from the annual totals of monthly IPD deaths reported. This provides evidence regarding priorities for planning and resource allocation. The top ten causes should be listed, from highest to lowest.  The total number of IPD deaths and the case fatality rate should also be included for comparison with other locations. While deaths are reported monthly, the top ten are calculated annually, based on the sum of monthly totals.","Age: 0-4, 5-14, >=15 

Sex: Male, Female",,Inpatient registers,Monthly,"HC/Clinic, Hospital, WorHO, ZHD/ScHO, RHB, FMOH",,None,,,
C1.4.1.3,C1: Access to Health Service,C1.4 Prevention and Control of Diseases,C1.4.1 All diseases,,Inpatient mortality rate,"Patient deaths before discharge per 100 patients admitted.",Indicator,Numeric,Indicator,Number of inpatient deaths,Total number of Discharges,100,"Provides rough evidence regarding quality of care when compared with other facilities.  Caution should be exercised, however.  The level and location of a facility may affect its case mix. The inpatient mortality rate is calculated as the number of IPD deaths divided by the number of IPD admissions in the facility during a given time period. The number of deaths can be known from the monthly totals of IPD deaths reported. The inpatient mortality rate can be estimated at all levels except at the Health Post.","Age: 0-4, 5-14, >=15 

Sex: Male, Female",,Inpatient registers,Monthly,"HC/Clinic, Hospital, WorHO, ZHD/ScHO, RHB, FMOH",,None,,,
C1.4.2.1.1,C1: Access to Health Service,C1.4 Prevention and Control of Diseases,C1.4.2 Communicable diseases,C1.4.2.1 HIV/AIDs,Number of individuals tested and counseled for HIV and who received their test results,Number of individuals who have been tested for HIV and who received their test results,Indicator,Numeric,Count,Number of individuals who have been tested for HIV and who received their results,,,"This indicator is intended to monitor trends in the uptake of HIV testing and counseling services over time, regardless of how testing and counseling services are delivered. Data should be generated by counting the total number of individuals who received HIV testing and counseling from any service delivery point. Service delivery points could include fixed health care facilities such as, hospitals, public and private clinics, OPD, VCT, ANC, L&D, PMTCT, or TB sites; standalone sites such as free standing sites not associated with medical institutions; and, mobile testing such as, HIV T&C services offered in a specific location for a limited period of time, e.g. outreach, door-to-door services, and workplace testing events. All individuals receiving T&C should be counted in this indicator regardless of where the service is provided. These individuals will include TB patients, pregnant women, and infants. Adequately collecting data for this indicator requires a minimum provision of the following services: counseling, testing, returns, and receipt of test results","Age: <1, 1-4, 5-9, 10-14, 15-19, 20-24, 25-49, 50+; 

HIV test result: Positive

Test modalities (VCT, PICT)

Sex: Male, Female",,"VCT register, PITC tally",Monthly,"HC/Clinic, Hospital, WorHO, ZHD/ScHO, RHB, FMOH",,None,,,
C1.4.2.1.2,C1: Access to Health Service,C1.4 Prevention and Control of Diseases,C1.4.2 Communicable diseases,C1.4.2.1 HIV/AIDs,Number of PLHIV newly enrolled in pre-ART care,Number of adults and children with HIV infection newly enrolled and  receiving pre-ART care,Indicator,Numeric,Count,Number of adults and children with HIV infection newly enrolled in pre-ART  care,,,"This indicator suggests the progress in providing pre-ART care to all people with HIV infection. Adults and children living with HIV should receive a comprehensive package of services to improve the quality of life, extend life and delay the need for antiretroviral therapy. Care and support programs in a facility can include a broad range of services related to the specific clinical needs of HIV-positive persons and may include both assessment of the need for interventions (for example assessing pain, clinical staging, and eligibility for Co-trimoxazole, or screening for tuberculosis) or food by prescription etc. Data for this indicator can be generated by counting the number of adults and children who received at least one of the following services: Clinical assessment (WHO staging) or CD4 count or viral load (regardless of the number of service provision episodes) in a health facility during the reporting period. Provision of ART is not counted in this indicator.","Age: <1, 1-4, 5-9, 10-14, 15-19, 20-24, 25-49, 50+

Sex: Male; Female ",,Pre ART Register,Monthly,"HC/Clinic, Hospital, WorHO, ZHD/ScHO, RHB, FMOH",,None,,,
C1.4.2.1.3,C1: Access to Health Service,C1.4 Prevention and Control of Diseases,C1.4.2 Communicable diseases,C1.4.2.1 HIV/AIDs,"HIV positive persons receiving co-trimoxazole prophylaxis ",Percentage of adults and children enrolled in HIV care and eligible for co-trimoxazole (CTX) prophylaxis (according to national guidelines) who are currently receiving CTX prophylaxis,Indicator,Numeric,Indicator,Number of HIV positive persons receiving CTX prophylaxis,Estimated number of  HIV positive patients  enrolled  to care and eligible to CTX according to national guideline,100,This indicator permits monitoring trends in the numbers and proportion of HIV positive persons receiving CTX prophylaxis. This indicator attempts to track progress in scale-up of CTX to HIV-positive individuals in a country. Individuals should be considered to be “receiving” CTX prophylaxis if CTX has been prescribed and obtained by the patient (provided by a program or procured by the patient). The indicator does not attempt to capture interruptions in drug availability or patient adherence to prescribed therapy. The reports will need to be interpreted in the context of national policies.,None,,"Pre ART and ART register, PMTCT register",Monthly,"HC/Clinic, Hospital, WorHO, ZHD/ScHO, RHB, FMOH",,None,,,
C1.4.2.1.4,C1: Access to Health Service,C1.4 Prevention and Control of Diseases,C1.4.2 Communicable diseases,C1.4.2.1 HIV/AIDs,Number of PLHIV ever started on ART,Cumulative number of adults and children with advanced HIV infection started on antiretroviral therapy,Indicator,Numeric,Count,Number of adults and children with advanced HIV infection ever started on ART,,,"The indicator measures scale-up of the ART program. The number is generated by counting the number of adults and children who are started on ART including those patients that are transferred out. It refers to the number of patients ever started on ART as NEW at the reporting facility, and does not include patients who transfer in. Patients who transfer out, or are categorized as DROP, DEAD, LOST or STOP, are not subtracted","Age: .<1, 1-4, 5-9, 10-14, 15-19, 20-24, 25-49, 50+

Sex:  Male, Female

Pregnancy: Non pregnant and Pregnant ",,"ART Register, PMTCT register",Monthly,"HC/Clinic, Hospital, WorHO, ZHD/ScHO, RHB, FMOH",,None,,,
C1.4.2.1.5,C1: Access to Health Service,C1.4 Prevention and Control of Diseases,C1.4.2 Communicable diseases,C1.4.2.1 HIV/AIDs,Number  of  adults and children receiving Anti-Retroviral Therapy (ART) (CURRENT) ,Number of adults and children with HIV infection receiving antiretroviral therapy,Indicator,Numeric,Count,Number of adults and children with HIV infection who are currently  receiving ART in accordance with the nationally approved treatment protocol at the end of the reporting period,,,"The current on ART count should equal the number of adults and children with HIV infection who ever started ART minus those patients who are not currently on treatment at the end of the reporting period. Data for this indicator is generated by counting the number of adults and children who are currently receiving ART in accordance with the nationally approved treatment protocol at the end of the reporting period. Patients who have died, stopped treatment, transferred out or are lost to follow-up (patient not seen for 3 months from last visit) are NOT counted. Patients on ART who initiated or transferred in during the reporting period should be counted. ART taken only for the purpose of prevention of mother-to-child transmission (provided with the intention to stop at the end of the breastfeeding period) and post-exposure prophylaxis are not included in this indicator.","Age: <1, 1-4, 5-14, 15+

Sex: Male; Female 

Regimen: 1st line, 2nd line",,"ART Register, PMTCT register",Monthly,"HC/Clinic, Hospital, WorHO, ZHD/ScHO, RHB, FMOH",,Similar to 52.1 and 52.2,,,
C1.4.2.1.6,C1: Access to Health Service,C1.4 Prevention and Control of Diseases,C1.4.2 Communicable diseases,C1.4.2.1 HIV/AIDs,Number of adults and children with HIV infection newly started on ART ,Number of adults and children with HIV infection newly started on antiretroviral therapy during the reporting period,Indicator,Numeric,Count,Number of adults and children with HIV infection newly started on ART during the reporting period,,,"The indicator measures the ongoing scale-up and up-take of ART programs. This measure is critical to monitor, along with number of patients currently on ART in relation to the number of PLHA that are estimated to be eligible for treatment, to assess progress in the program’s response to the epidemic in specific geographic areas and population as well as at the national level. 

This indicator permits the monitoring of trends in initiation but does not attempt to distinguish between different lines or regimens of ART or to measure the cost, quality or effectiveness of treatment provided. These will each vary within and between countries and are liable to change over time. Since age and pregnancy status change over time, the comparison of NEW, CUMULATIVE, and CURRENT clients by age and pregnancy status is challenging. CURRENT is a state defined by vital/treatment status when last seen, so it is expected that characteristics of these clients would be updated each time they are seen by a program. On the contrary, NEW and CUMULATIVE are states defined by beginning in a program, and it is expected that the characteristics of new and cumulative clients are recorded at the time they newly initiate or transfer into a program and will remain at that same status over time. ","Age: <1, 1-4, 5-9, 10-14, 15-19, 20-24, 25-49, 50+

Sex: Male, Female

Pregnancy: Non pregnant and Pregnant",,"ART Register, PMTCT register",Monthly,"HC/Clinic, Hospital, WorHO, ZHD/ScHO, RHB, FMOH",,None,,,
C1.4.2.1.7,C1: Access to Health Service,C1.4 Prevention and Control of Diseases,C1.4.2 Communicable diseases,C1.4.2.1 HIV/AIDs,Survival on ART,Percent of adults and children with HIV known to be alive and on treatment 12 months after initiation of antiretroviral therapy (survival at 12 months),Indicator,Numeric,Indicator,Number of adults and children still alive and on ART at 12 months after initiating treatment,"Total number of adults and children who initiated ART in the 12 months prior to the beginning of the reporting period, , including those who have died, those who have stopped ART, and those lost to follow-up [NET CURRENT COHORT]",100,"High proportion of adults and children with HIV known to be on treatment 12 months after initiation of antiretroviral therapy is one important measure of program success and is a proxy for overall quality of the program. 

The Numerator: Number of adults and children still alive and on ART at 12 months after initiating treatment. A 12-month outcome is defined as the outcome (i.e. whether the patient is still alive and on ART, dead or lost to follow-up) 12 months after starting. The numerator does not require patients to have been on ART continuously for the 12-month period. Patients may be included in the numerator (and denominator) if they have missed an appointment or drug pick-up or temporarily stopped treatment during the 12 months since initiating treatment, as long as they are recorded as still being on treatment at month 12. On the contrary, those patients who have died, stopped treatment, or been lost to follow-up as of 12 months since starting treatment are not included in the numerator. The number of adults and children on ART at 12 months includes patients who have transferred in (and their initiation date is known) at any point from initiation of treatment to the end of the 12-month period and excludes patients who have transferred out during this same period to reflect the net current cohort at each facility. 

The denominator: Number of adults and children in the ART start-up groups initiating ART at 12 months prior to the end of the reporting period. .The denominator is the total number of adults and children in the (monthly) ART start-up groups who initiated ART at a point 12 months prior to the beginning of the reporting period, regardless of their 12-month outcome. This includes all patients, both those on ART as well as those who are dead, have stopped treatment or are lost to follow-up at month 12. Again the denominator includes patients that have transferred in (and their initiation date is known) and excludes patients that transferred out during the time period. Only sites that have been operational for at least 24 months prior to the end of the reporting period should report, so that all sites report on the same 12 ART start-up groups.",None,,"ART Register, PMTCT register",Monthly,"HC/Clinic, Hospital, WorHO, ZHD/ScHO, RHB, FMOH",,None,,,
